6.32160646,47.46738501,2.044980224
6.877097594,45.60118653,2.116826719
6.953220003,43.09376119,6.450737662
14.14753103,33.52461517,6.715003707
17.506813,31.54274619,9.085897995
19.57047677,26.50164569,11.41108604
21.10411211,26.35107336,12.1931868
25.284676,21.43012281,13.72534921
30.94439088,19.1635017,13.93808347
33.63290476,19.13882622,13.96159416
40.31713037,15.38675308,15.1037684
42.85702926,13.30596535,15.12146235
46.18857635,12.47782502,16.42600225
46.6863387,9.514202476,17.62569499
47.45411795,4.265681744,17.78248951
